시도,전국,수도권,지방,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,세종특별자치시,세종특별자치시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,광주광역시,광주광역시,광주광역시,광주광역시,광주광역시,광주광역시,대전광역시,대전광역시,대전광역시,대전광역시,대전광역시,대전광역시,울산광역시,울산광역시,울산광역시,울산광역시,울산광역시,울산광역시,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,제주특별자치도,제주특별자치도,제주특별자치도
시군구,소계,소계,소계,소계,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구,소계,수원장안구,수원권선구,수원팔달구,수원영통구,성남수정구,성남중원구,성남분당구,의정부시,안양만안구,안양동안구,부천시,광명시,평택시,동두천시,안산상록구,안산단원구,고양덕양구,고양일산동구,고양일산서구,과천시,구리시,남양주시,오산시,시흥시,군포시,의왕시,하남시,용인처인구,용인기흥구,용인수지구,파주시,이천시,안성시,김포시,화성시,광주시,양주시,포천시,여주시,연천군,가평군,양평군,소계,중구,동구,미추홀구,연수구,남동구,부평구,계양구,서구,강화군,옹진군,소계,세종특별자치시,소계,중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군,소계,중구,동구,서구,남구,북구,수성구,달서구,달성군,군위군,소계,동구,서구,남구,북구,광산구,소계,동구,중구,서구,유성구,대덕구,소계,중구,남구,동구,북구,울주군,소계,춘천시,원주시,강릉시,동해시,태백시,속초시,삼척시,홍천군,횡성군,영월군,평창군,정선군,철원군,화천군,양구군,인제군,고성군,양양군,소계,청주상당구,청주서원구,청주흥덕구,청주청원구,충주시,제천시,보은군,옥천군,영동군,증평군,진천군,괴산군,음성군,단양군,소계,천안동남구,천안서북구,공주시,보령시,아산시,서산시,논산시,계룡시,당진시,금산군,부여군,서천군,청양군,홍성군,예산군,태안군,소계,전주완산구,전주덕진구,군산시,익산시,정읍시,남원시,김제시,완주군,진안군,무주군,장수군,임실군,순창군,고창군,부안군,소계,목포시,여수시,순천시,나주시,광양시,담양군,곡성군,구례군,고흥군,보성군,화순군,장흥군,강진군,해남군,영암군,무안군,함평군,영광군,장성군,완도군,진도군,신안군,소계,포항남구,포항북구,경주시,김천시,안동시,구미시,영주시,영천시,상주시,문경시,경산시,의성군,청송군,영양군,영덕군,청도군,고령군,성주군,칠곡군,예천군,봉화군,울진군,울릉군,소계,창원의창구,창원성산구,창원마산합포구,창원마산회원구,창원진해구,진주시,통영시,사천시,김해시,밀양시,거제시,양산시,의령군,함안군,창녕군,고성군,남해군,하동군,산청군,함양군,거창군,합천군,소계,제주시,서귀포시
202208,511,478,33,178,1,1,,,2,,5,2,7,3,,11,6,1,21,60,26,17,,8,4,,,1,2,130,,1,,,,,,3,9,,51,1,2,,,1,7,10,5,,,5,1,2,5,,1,2,1,1,15,2,,3,1,1,,,,,,,170,2,,53,,27,41,7,40,,,,,6,1,,,1,2,,,,1,1,,,,,,,1,,,,,,,1,,,3,2,,1,,,3,1,,2,,,2,1,1,,,,1,1,,,,,,,,,,,,,,,,,,3,,1,,,1,,,,,,,,1,,2,,,,,,1,,,,,,,,,1,,2,1,,,,,,,1,,,,,,,,2,1,,,,1,,,,,,,,,,,,,,,,,,2,,,,1,,1,,,,,,,,,,,,,,,,,,3,,,,,,1,,,1,,1,,,,,,,,,,,,3,,3
202209,523,488,35,160,,,,1,3,,8,2,4,6,2,10,6,1,15,57,18,11,2,4,8,1,,,1,133,3,2,1,,,,1,1,1,2,41,2,,,,,8,8,10,,,2,,3,4,,,2,2,,19,1,,11,,8,,1,,,,,195,1,1,47,2,35,49,8,52,,,,,11,,1,,,2,1,1,,2,,2,,1,1,,,3,,,,,2,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,4,,,,,,,,,,,1,,,,,,,7,2,3,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,2,2,
202210,704,652,52,239,,,,1,1,,7,5,9,6,1,11,5,3,19,93,27,16,2,21,8,,2,1,1,191,4,6,2,2,,,,4,7,1,68,1,6,1,4,1,7,6,19,1,,1,,1,6,1,3,2,4,1,14,,,7,1,10,,,,,,,222,3,1,47,5,36,64,12,54,,,,,20,,,1,3,3,,2,4,1,2,2,,,2,,,2,,,,,2,,,,,3,,,,3,,,,,,,,3,1,1,1,,,2,,1,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,4,2,,,,,,,,2,,,,,,,,1,1,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,7,1,,,1,,3,,,,,,,,,,,,,2,,,,,3,,,1,,,1,,,,,1,,,,,,,,,,,,4,2,2
202211,869,803,66,278,,1,1,,1,,2,8,10,9,3,17,5,4,27,91,28,25,6,20,13,1,1,1,4,251,7,6,4,5,1,,1,5,11,1,79,,3,,6,1,17,12,11,,,5,,3,2,2,1,4,6,,20,5,,13,8,9,1,,1,,1,,274,3,2,73,7,36,74,13,66,,,,,18,,,1,1,6,,,2,2,2,1,,1,,,2,9,,,,,1,3,5,,,5,1,1,1,1,1,2,1,,,1,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,3,1,,2,,,,,,,,,,,,6,,1,,,,2,,,3,,,,,,,,3,,1,,2,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,1,,,,,,,5,2,,,,,2,,,,,,,,,,,,,,1,,,,7,,1,,,,,,,3,,3,,,,,,,,,,,,4,1,3
202212,820,743,77,228,1,,1,2,2,2,3,6,8,7,1,14,4,3,25,75,17,15,6,4,16,2,5,1,8,291,3,7,1,4,1,1,3,10,14,2,99,1,7,,5,5,5,17,16,1,,3,1,3,4,2,5,2,1,4,18,2,,17,7,17,1,1,,,1,,224,4,,39,2,40,56,23,60,,,1,1,27,,,2,3,4,2,3,7,1,1,3,,1,,,,10,,1,,1,2,,3,3,,3,1,1,1,,,,,,,,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,5,,1,2,1,,,,,,,,,1,,3,,,,,,,,,1,1,,,,1,,,2,2,,,,,,,,,,,,,,,4,,,1,,3,,,,,,,,,,,,,,,,,,7,2,,1,1,1,1,,,,,,,,,,,,,,,,1,,6,,,,,1,,,,,,5,,,,,,,,,,,,7,,7
202301,968,864,104,294,,1,2,1,4,1,12,7,16,17,,19,5,6,30,68,28,29,6,12,17,1,1,4,7,318,5,9,4,1,3,1,1,11,14,3,89,2,3,,4,7,12,12,19,,,11,2,6,7,,5,5,5,3,13,3,,18,7,30,1,1,1,,,,252,5,,54,9,45,56,16,67,,,1,1,32,1,2,,2,4,3,4,10,1,1,1,,1,,1,1,12,,3,,,1,4,3,1,,3,1,2,,,,6,,,3,3,,7,1,3,,2,1,2,2,,,,,,,,,,,,,,,,,,4,,1,1,,1,,,,,,,,1,,7,1,1,,,,1,,,4,,,,,,,,3,1,2,,,,,,,,,,,,,,3,,,,,2,,,,,,,,,,,1,,,,,,,9,,2,,,,5,,,,,,,,,,,,,1,,,1,,6,1,1,,,,1,,,1,,2,,,,,,,,,,,,9,,9
202302,"1,121",999,122,299,1,2,1,2,3,1,7,10,18,3,3,11,4,2,23,102,28,32,8,12,13,1,3,5,4,344,3,9,5,2,,1,1,7,11,9,104,2,,,10,6,10,7,30,,2,8,5,7,6,4,1,7,7,4,29,1,,24,6,15,1,,,,,,356,12,3,76,5,58,104,28,70,,,,,27,1,,,,3,,2,2,2,3,7,1,2,2,1,1,15,,4,,,2,3,5,1,,5,,,2,2,1,2,,,1,1,,5,,4,,1,,5,1,3,1,,,,,,,,,,,,,,,,5,3,1,1,,,,,,,,,,,,12,,2,,,1,3,,,6,,,,,,,,7,1,2,1,,,,,2,,,,,,1,,11,,1,,,8,,,,,,,,,,,2,,,,,,,10,4,1,1,,,3,,,,,,,,,,,,,1,,,,,14,1,2,,,,,,,4,1,3,3,,,,,,,,,,,4,2,2
202303,"1,385","1,290",95,363,2,3,,1,6,4,19,10,21,13,5,27,5,5,17,99,21,32,9,15,27,1,3,10,8,469,2,11,8,3,,2,1,11,10,3,103,3,5,,12,10,13,40,34,,2,10,8,6,4,1,2,8,15,8,48,3,1,24,11,45,1,,,,,1,458,6,1,108,19,68,125,26,105,,,3,3,19,,,,1,3,1,1,1,1,2,3,1,2,1,2,,7,,2,1,1,,1,1,1,,6,1,1,1,,3,6,,,4,2,,5,,1,3,,1,4,1,3,,,,,,,,,,,,,,,,,3,1,,,,1,,,,,,1,,,,16,1,5,,,2,5,,,2,,,,,,1,,4,,3,,1,,,,,,,,,,,,12,,,,1,10,,,,,,,,,,,1,,,,,,,4,1,1,,,,2,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,3,,,,,,,,,,,,3,,3
202304,"1,273","1,120",153,287,,5,,1,5,4,9,10,6,8,7,14,5,4,25,70,20,22,14,15,18,2,5,6,12,374,7,4,7,3,,2,2,12,12,2,116,1,6,,12,5,11,21,19,,2,7,5,4,4,2,5,6,8,3,28,1,,17,7,32,,,,,,1,459,8,1,87,8,85,134,34,102,,,5,5,33,3,,,,6,3,2,1,2,5,5,1,1,1,3,,19,,3,1,,2,5,3,5,,6,1,,,2,3,9,2,1,2,3,1,1,,1,,,,6,3,3,,,,,,,,,,,,,,,,,8,1,2,2,1,,,,,,,2,,,,20,3,3,,,1,5,,,7,,,,,1,,,8,2,2,2,,,,,1,,,,,,1,,12,,2,2,2,5,,,,,,,,,,,1,,,,,,,12,,2,,1,,6,,1,,,1,,,,,,,,1,,,,,8,,1,,1,,,,1,1,,3,1,,,,,,,,,,,6,2,4
202305,"1,444","1,303",141,383,1,,,3,3,3,10,10,18,11,4,20,11,6,33,104,31,36,14,13,28,2,5,4,13,491,4,10,6,7,,,5,15,17,5,147,,13,,12,11,12,30,30,,1,8,2,10,4,4,8,4,6,2,43,4,3,19,11,30,2,3,,,,3,429,11,2,109,3,80,118,31,75,,,3,3,25,,2,1,1,4,1,2,2,1,2,2,2,1,,3,1,17,1,3,,,3,6,4,,,14,2,2,,5,5,7,,,4,3,,4,,3,,1,,2,1,1,,,,,,,,,,,,,,,,,2,1,1,,,,,,,,,,,,,20,1,3,,,6,5,,,5,,,,,,,,6,1,1,3,,,,,1,,,,,,,,7,,,1,1,5,,,,,,,,,,,,,,,,,,7,1,2,,,,4,,,,,,,,,,,,,,,,,,10,,,,,,1,,5,2,,1,1,,,,,,,,,,,17,1,16
